,TransactionID,CustomerID,ProductID,Date,Quantity,Discount,status,Category,Price,Name,Region,Signup_Date,total_amount,Month_Name,Day_Name
0,10001,CUST-064,PROD-009,2023-01-01 00:00:00,8,0.1,Approved,Furniture,293.46,Customer_64,West,2021-03-21,2112.91,January,Sunday
1,10002,CUST-097,PROD-004,2023-01-01 01:00:00,2,0.05,Approved,Office,340.59,Customer_97,East,2021-11-07,647.12,January,Sunday
2,10003,CUST-049,PROD-017,2023-01-01 02:00:00,1,0.2,Approved,Furniture,244.09,Customer_49,West,2020-12-06,195.27,January,Sunday
3,10004,CUST-022,PROD-001,2023-01-01 03:00:00,6,0.2,Approved,Clothing,152.01,Customer_22,East,2020-05-31,729.65,January,Sunday
4,10005,CUST-071,PROD-005,2023-01-01 04:00:00,4,0.0,Approved,Electronics,282.48,Customer_71,Midwest,2021-05-09,1129.92,January,Sunday
5,10006,CUST-099,PROD-012,2023-01-01 05:00:00,9,0.1,Approved,Furniture,64.77,Customer_99,North,2021-11-21,524.64,January,Sunday
6,10007,CUST-004,PROD-006,2023-01-01 06:00:00,8,0.2,Approved,Electronics,421.8,Customer_4,Midwest,2020-01-26,2699.52,January,Sunday
7,10008,CUST-076,PROD-016,2023-01-01 07:00:00,3,0.1,Approved,Electronics,50.92,Customer_76,East,2021-06-13,137.48,January,Sunday
8,10009,CUST-087,PROD-002,2023-01-01 08:00:00,1,0.1,Approved,Office,494.51,Customer_87,South,2021-08-29,445.06,January,Sunday
9,10010,CUST-039,PROD-020,2023-01-01 09:00:00,7,0.0,Approved,Electronics,59.07,Customer_39,North,2020-09-27,413.49,January,Sunday
10,10011,CUST-057,PROD-007,2023-01-01 10:00:00,9,0.05,Approved,Clothing,304.97,Customer_57,East,2021-01-31,2607.49,January,Sunday
11,10012,CUST-002,PROD-019,2023-01-01 11:00:00,9,0.05,Approved,Clothing,70.37,Customer_2,South,2020-01-12,601.66,January,Sunday
12,10013,CUST-041,PROD-017,2023-01-01 12:00:00,5,0.0,Approved,Furniture,244.09,Customer_41,West,2020-10-11,1220.45,January,Sunday
13,10014,CUST-043,PROD-001,2023-01-01 13:00:00,1,0.1,Approved,Clothing,152.01,Customer_43,West,2020-10-25,136.81,January,Sunday
14,10015,CUST-091,PROD-014,2023-01-01 14:00:00,8,0.05,Approved,Electronics,300.42,Customer_91,South,2021-09-26,2283.19,January,Sunday
